start_iso,end_iso,elapsed_sec,step,returncode,dataset,lm,run_id,cmd
2026-01-22T14:31:57,2026-01-22T14:32:07,9.23,match_test,0,aircraft_er/make_model_cictt_no_lh,distilbert,0,python matcher.py --task aircraft_er/make_model_cictt_no_lh --input_path data/ditto_aircraft/make_model_cictt_no_lh/test.txt --output_path aircraft_er_predictions/make_model_cictt_no_lh_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-22T14:32:07,2026-01-22T14:32:34,27.377,train,0,aircraft_er/make_model_faa,distilbert,0,python train_ditto.py --task aircraft_er/make_model_faa --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 1 --run_id 0 --save_model
2026-01-22T14:32:34,2026-01-22T14:32:58,23.907,match_all,0,aircraft_er/make_model_faa,distilbert,0,python matcher.py --task aircraft_er/make_model_faa --input_path data/ditto_aircraft/make_model_faa/all_pairs.txt --output_path aircraft_er_predictions/make_model_faa_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-22T14:32:58,2026-01-22T14:33:06,8.403,match_test,0,aircraft_er/make_model_faa,distilbert,0,python matcher.py --task aircraft_er/make_model_faa --input_path data/ditto_aircraft/make_model_faa/test.txt --output_path aircraft_er_predictions/make_model_faa_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-22T14:33:06,2026-01-22T14:33:36,29.72,train,0,aircraft_er/make_model_faa_no_lh,distilbert,0,python train_ditto.py --task aircraft_er/make_model_faa_no_lh --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 1 --run_id 0 --save_model
2026-01-22T14:33:36,2026-01-22T14:34:04,27.475,match_all,0,aircraft_er/make_model_faa_no_lh,distilbert,0,python matcher.py --task aircraft_er/make_model_faa_no_lh --input_path data/ditto_aircraft/make_model_faa_no_lh/all_pairs.txt --output_path aircraft_er_predictions/make_model_faa_no_lh_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-22T14:34:04,2026-01-22T14:34:12,8.736,match_test,0,aircraft_er/make_model_faa_no_lh,distilbert,0,python matcher.py --task aircraft_er/make_model_faa_no_lh --input_path data/ditto_aircraft/make_model_faa_no_lh/test.txt --output_path aircraft_er_predictions/make_model_faa_no_lh_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-22T14:34:12,2026-01-22T14:34:14,1.712,train,1,aircraft_er/make_model_reg,distilbert,0,python train_ditto.py --task aircraft_er/make_model_reg --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 1 --run_id 0 --save_model
2026-01-22T14:34:14,2026-01-22T14:34:16,1.638,train,1,aircraft_er/make_model_reg_no_lh,distilbert,0,python train_ditto.py --task aircraft_er/make_model_reg_no_lh --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 1 --run_id 0 --save_model
2026-01-22T14:34:16,2026-01-22T14:35:04,48.607,train,0,aircraft_er/make_model_doc8643,distilbert,0,python train_ditto.py --task aircraft_er/make_model_doc8643 --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 1 --run_id 0 --save_model
2026-01-22T14:35:04,2026-01-22T14:35:52,48.229,match_all,0,aircraft_er/make_model_doc8643,distilbert,0,python matcher.py --task aircraft_er/make_model_doc8643 --input_path data/ditto_aircraft/make_model_doc8643/all_pairs.txt --output_path aircraft_er_predictions/make_model_doc8643_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-22T14:35:52,2026-01-22T14:36:07,14.512,match_test,0,aircraft_er/make_model_doc8643,distilbert,0,python matcher.py --task aircraft_er/make_model_doc8643 --input_path data/ditto_aircraft/make_model_doc8643/test.txt --output_path aircraft_er_predictions/make_model_doc8643_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-22T14:36:07,2026-01-22T14:36:09,1.677,train,1,aircraft_er/make_model_doc8643_no_lh,distilbert,0,python train_ditto.py --task aircraft_er/make_model_doc8643_no_lh --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 1 --run_id 0 --save_model
2026-01-22T14:36:09,2026-01-22T14:36:10,1.718,train,1,aircraft_er/make_model_doc8643_with_drops,distilbert,0,python train_ditto.py --task aircraft_er/make_model_doc8643_with_drops --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 1 --run_id 0 --save_model
2026-01-22T14:36:10,2026-01-22T14:36:12,1.663,train,1,aircraft_er/make_model_doc8643_with_drops_no_lh,distilbert,0,python train_ditto.py --task aircraft_er/make_model_doc8643_with_drops_no_lh --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 1 --run_id 0 --save_model
2026-01-22T14:36:12,2026-01-22T14:36:14,1.69,train,1,aircraft_er/make_model_doc8643_code,distilbert,0,python train_ditto.py --task aircraft_er/make_model_doc8643_code --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 1 --run_id 0 --save_model
2026-01-22T14:36:14,2026-01-22T14:36:15,1.701,train,1,aircraft_er/make_model_doc8643_description,distilbert,0,python train_ditto.py --task aircraft_er/make_model_doc8643_description --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 1 --run_id 0 --save_model
2026-01-22T14:42:34,2026-01-22T14:42:36,1.674,train,1,aircraft_er/make_model_reg,distilbert,0,python train_ditto.py --task aircraft_er/make_model_reg --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 1 --run_id 0 --save_model
2026-01-22T14:45:14,2026-01-22T14:45:41,26.916,train,0,aircraft_er/make_model_reg,distilbert,0,python train_ditto.py --task aircraft_er/make_model_reg --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 1 --run_id 0 --save_model
2026-01-22T14:45:41,2026-01-22T14:46:06,25.004,match_all,0,aircraft_er/make_model_reg,distilbert,0,python matcher.py --task aircraft_er/make_model_reg --input_path data/ditto_aircraft/make_model_reg/all_pairs.txt --output_path aircraft_er_predictions/make_model_reg_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-22T14:46:06,2026-01-22T14:46:14,8.062,match_test,0,aircraft_er/make_model_reg,distilbert,0,python matcher.py --task aircraft_er/make_model_reg --input_path data/ditto_aircraft/make_model_reg/test.txt --output_path aircraft_er_predictions/make_model_reg_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-22T14:47:15,2026-01-22T15:04:16,1021.257,train,0,aircraft_er/make_model_cictt,distilbert,0,python train_ditto.py --task aircraft_er/make_model_cictt --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 40 --run_id 0 --save_model
2026-01-22T15:04:16,2026-01-22T15:04:42,25.576,match_all,0,aircraft_er/make_model_cictt,distilbert,0,python matcher.py --task aircraft_er/make_model_cictt --input_path data/ditto_aircraft/make_model_cictt/all_pairs.txt --output_path aircraft_er_predictions/make_model_cictt_predictions_all.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-22T15:04:42,2026-01-22T15:04:50,8.437,match_test,0,aircraft_er/make_model_cictt,distilbert,0,python matcher.py --task aircraft_er/make_model_cictt --input_path data/ditto_aircraft/make_model_cictt/test.txt --output_path aircraft_er_predictions/make_model_cictt_predictions_test.tsv --checkpoint_path results_ditto --lm distilbert --max_len 64 --use_gpu
2026-01-22T15:04:50,2026-01-22T15:23:27,1117.199,train,0,aircraft_er/make_model_cictt_no_lh,distilbert,0,python train_ditto.py --task aircraft_er/make_model_cictt_no_lh --logdir results_ditto/ --batch_size 64 --max_len 64 --finetuning --lr 3e-5 --fp16 --lm distilbert --n_epochs 40 --run_id 0 --save_model
